year,month,day,hour,o3ddv,gs,prec,rh,VPD,wetness
1998,9,29,15,0.545943164075857,0.388767340588876,0,51.3,0.909183262192763,0.005
1998,9,29,16,0.226394142769982,0.17433361433595,0,53.02,0.860916960339385,0.005
1998,9,29,17,0.0725259646279791,0.0987878947310412,0,57.16,0.721841506712229,0.005
1998,9,29,18,0.0297059196285087,NaN,0,60.57,0.596993220841248,0.005
1998,9,29,19,0.0272154679382421,NaN,0,71.05,0.378242072944802,0.005
1998,9,29,20,0.143889607634379,NaN,0,70.46,0.392093488424912,0.005
1998,9,29,21,0.087101129450592,NaN,0,68.095,0.440874770639697,0.4105
1998,9,29,22,0.256929516675631,0.113414690893026,0,68.46,0.437830839636215,0.1935
1998,9,29,23,0.2032898623955,0.0918116996016994,0,68.275,0.44519717535401,0.05
1998,9,30,0,0.142182032848963,0.0284799857621425,0,73.85,0.355579103463307,0.9425
1998,9,30,1,0.127252663989475,NaN,0.254,81.55,0.240182662128013,1.006
1998,9,30,2,0.0424023551158731,0.00138464148849578,0,87.15,0.163058160212724,1.006
1998,9,30,3,0.21553814273422,NaN,0,91.2,0.109643809780786,1.006
1998,9,30,4,0.435249159606544,-0.0039416874889891,0,88.95,0.14243554659145,1.006
1998,9,30,5,0.133283622772479,0.0239666650390883,0,86.1,0.185027827733738,0.312
1998,9,30,6,0.20052908391294,-0.00194227578545201,0,88.35,0.152881964587724,0.005
1998,9,30,7,0.334810460795121,NaN,0.254,86.8,0.180287865555062,0.005
1998,9,30,8,0.307374173492138,0.13393490160469,0,83.1,0.24842151395227,0.005
1998,9,30,9,0.882021334989272,0.748704937622214,0,74,0.437222249961988,0.005
1998,9,30,10,0.640111906243132,0.500269825175073,0,72.6,0.478944350364052,0.005
1998,9,30,11,0.943007450907026,0.775675466130843,0,68.6,0.606910883388701,0.005
1998,9,30,12,0.623517880385974,0.502947739131045,0,66.75,0.668064716315178,0.005
1998,9,30,13,0.63118136376851,0.533478094962798,0,67.08,0.679922135395241,0.005
1998,9,30,14,0.558327080489468,0.398626664814956,0,69.915,0.614878956336051,0.005
1998,9,30,15,0.443694265157645,0.310214019727884,0,73.7,0.521705335461825,0.005
1998,9,30,16,0.250082768934668,0.14068790894354,0,74.85,0.487435070761881,0.005
1998,9,30,17,0.0688429198939544,NaN,0,78.25,0.408013824088265,0.005
1998,9,30,18,0.212768112987369,NaN,0.508,83.05,0.300966809647012,0.3575
1998,9,30,19,0.222819606072004,NaN,0.254,91.15,0.144529015848538,1.006
1998,9,30,20,0.0758154421493141,NaN,0,92.35,0.12321108868012,1.006
1998,9,30,21,0.127246705668115,NaN,0,95.1,0.0755642907888763,1.005
1998,9,30,22,0.0238651650331741,NaN,0,96.9,0.0466421687769943,1.005
1998,9,30,23,0.0971841897531141,NaN,0,98,0.0288816116009134,1.006
1998,10,1,0,0.14704692175032,NaN,0,98.75,0.0176415525861219,1.006
1998,10,1,1,0.529343948814778,NaN,0,99.2,0.0113947786415868,1.006
